代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
000626,远大控股,8.000,40.3,刚启动(拉升初期),12.53,70.36,-0.0232,0.1626,1.4841,0.8105,1.0
603221,爱丽家居,27.140,65.8,刚启动(拉升初期),28.27,70.36,1.1451,1.4369,1.1755,0.918,0.0
600664,哈药股份,8.030,202.2,刚启动(拉升初期),34.56,70.35,1.4243,0.4486,1.4061,0.9122,0.4
301282,金禄电子,33.290,58.8,形态接近(观察),13.35,70.35,0.1991,0.5027,1.7015,0.8572,1.0
300464,星徽股份,6.890,24.5,刚启动(拉升初期),7.41,70.35,-0.261,0.1582,1.4196,0.8642,0.7
600327,大东方,4.080,36.1,刚启动(拉升初期),25.13,70.32,0.1271,0.1758,1.6953,0.8788,1.0
301202,朗威股份,37.740,30.0,刚启动(拉升初期),8.44,70.32,-0.0444,0.1812,1.651,0.8637,1.0
002980,华盛昌,94.070,95.3,刚启动(拉升初期),8.3,70.31,-0.0774,0.2366,1.6732,0.8662,1.0
301065,本立科技,18.980,16.4,刚启动(拉升初期),12.19,70.28,-0.1025,0.1035,1.4244,0.8688,0.7
301322,绿通科技,41.470,39.9,刚启动(拉升初期),7.77,70.15,-0.1902,0.2457,1.3266,0.8958,0.4
000831,中国稀土,58.520,621.0,刚启动(拉升初期),9.34,70.11,0.1987,0.251,1.4404,0.8575,0.7
688655,迅捷兴,40.090,53.5,刚启动(拉升初期),12.0,70.08,-0.1433,0.3128,1.4717,0.8624,0.7
300479,神思电子,14.580,28.7,刚启动(拉升初期),15.46,70.07,-0.039,0.1228,1.4369,0.8659,0.7
002812,恩捷股份,56.290,463.0,刚启动(拉升初期),7.8,70.04,-0.1847,0.0759,1.3718,0.923,0.4
603838,*ST四通,11.760,37.6,刚启动(拉升初期),19.56,70.03,0.2647,0.6643,1.7678,0.8609,1.0
688510,航亚科技,24.050,62.5,刚启动(拉升初期),8.28,69.99,-0.0806,0.2017,1.1707,0.9434,0.0
001211,双枪科技,24.120,22.5,刚启动(拉升初期),7.54,69.98,-0.2367,0.2833,1.247,0.8622,0.4
301062,上海艾录,7.040,19.4,刚启动(拉升初期),12.67,69.98,0.013,0.21,1.4324,0.8548,0.7
600593,大连圣亚,39.680,51.1,刚启动(拉升初期),14.2,69.91,0.0668,0.0959,1.4927,0.8831,0.7
688228,开普云,81.580,55.1,刚启动(拉升初期),18.2,69.91,-0.0987,0.3173,1.6024,0.9012,0.7
300920,润阳科技,33.190,28.7,刚启动(拉升初期),8.29,69.91,-0.0778,0.2155,1.5001,0.8752,0.7
300826,测绘股份,15.390,33.8,刚启动(拉升初期),9.1,69.9,0.1292,0.3238,1.3052,0.8764,0.4
688025,杰普特,415.930,395.3,刚启动(拉升初期),13.11,69.89,0.1293,0.4266,1.421,0.9073,0.4
603439,三力制药,11.980,48.4,刚启动(拉升初期),7.36,69.88,-0.27,0.1683,1.6385,0.8495,1.0
300797,钢研纳克,14.170,54.1,刚启动(拉升初期),18.63,69.88,0.0035,0.2136,1.6565,0.8517,1.0
