代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
600186,莲花控股,11.620,206.9,刚启动(拉升初期),13.16,72.89,0.1448,0.316,1.484,0.8614,1.0
000788,北大医药,5.630,33.6,刚启动(拉升初期),27.24,72.87,0.0465,0.0932,1.5543,0.903,1.0
603615,茶花股份,16.920,40.9,刚启动(拉升初期),8.19,72.85,-0.1024,0.1409,1.4497,0.8631,1.0
002982,湘佳股份,12.350,16.1,刚启动(拉升初期),8.58,72.76,-0.0088,0.0958,1.3055,0.8919,0.7
300110,华仁药业,2.860,33.8,刚启动(拉升初期),22.38,72.69,0.0214,0.0672,1.5341,0.8941,1.0
600713,南京医药,5.200,67.1,刚启动(拉升初期),30.53,72.65,0.0379,0.0421,1.5908,0.9142,1.0
000856,冀东装备,8.530,19.4,刚启动(拉升初期),8.41,72.59,-0.0501,0.1913,1.3266,0.8863,0.7
600281,华阳新材,4.620,23.8,刚启动(拉升初期),18.39,72.58,-0.0552,0.1907,1.3712,0.826,1.0
300154,瑞凌股份,11.750,37.1,刚启动(拉升初期),13.52,72.56,0.254,0.5359,1.5759,0.8683,1.0
600215,派斯林,6.520,29.8,刚启动(拉升初期),8.71,72.43,0.0235,0.1833,1.2439,0.9304,0.4
000715,中兴商业,5.150,25.0,刚启动(拉升初期),15.6,72.27,-0.0058,0.1344,1.5736,0.8905,1.0
600051,宁波联合,6.310,19.6,刚启动(拉升初期),12.39,72.25,-0.0554,0.1188,1.1255,0.8921,0.4
600815,厦工股份,3.920,69.5,刚启动(拉升初期),19.27,72.22,0.1772,0.3659,1.0383,0.9423,0.0
603001,奥康国际,8.250,33.1,刚启动(拉升初期),7.98,72.21,-0.1486,0.3306,1.1639,0.8866,0.4
603897,长城科技,30.660,63.3,刚启动(拉升初期),16.77,72.15,-0.3702,0.2333,1.5648,0.8762,1.0
001207,联科科技,16.710,48.9,刚启动(拉升初期),8.26,72.12,-0.0869,0.1556,1.4795,0.8537,1.0
603797,联泰环保,4.750,27.4,刚启动(拉升初期),18.97,72.06,0.092,0.25,1.5142,0.8558,1.0
603578,三星新材,13.490,24.3,刚启动(拉升初期),8.16,71.83,-0.1078,0.1875,1.5861,0.8793,1.0
600774,汉商集团,7.320,21.6,刚启动(拉升初期),12.53,71.73,-0.0214,0.1768,0.9875,0.928,0.0
301518,长华化学,25.440,14.9,刚启动(拉升初期),17.86,71.73,-0.1732,0.1257,1.5565,0.8721,1.0
002626,金达威,16.630,101.4,刚启动(拉升初期),24.55,71.67,0.0948,0.2355,1.5685,0.8655,1.0
603351,威尔药业,26.740,36.2,刚启动(拉升初期),18.08,71.47,0.0458,0.1132,1.5175,0.8537,1.0
603916,苏博特,11.740,49.3,刚启动(拉升初期),7.94,71.46,-0.156,0.2332,1.4717,0.828,1.0
688077,大地熊,28.800,33.0,刚启动(拉升初期),8.84,71.44,0.058,0.2794,1.4497,0.8165,1.0
600099,林海股份,9.020,19.8,刚启动(拉升初期),8.34,71.35,-0.0682,0.1505,1.0053,0.9267,0.0
003008,开普检测,19.450,15.6,刚启动(拉升初期),8.54,71.33,-0.0202,0.1682,1.257,0.9087,0.4
000919,金陵药业,6.640,41.3,刚启动(拉升初期),29.59,71.33,0.0473,0.0797,1.6326,0.8918,1.0
603358,华达科技,47.190,217.9,刚启动(拉升初期),20.26,71.27,0.2103,0.3859,1.3767,0.855,0.7
600097,开创国际,8.570,20.6,刚启动(拉升初期),15.38,71.21,-0.0572,0.113,1.4117,0.8871,0.7
300120,经纬辉开,9.000,47.5,刚启动(拉升初期),8.94,71.2,0.0843,0.4107,1.6743,0.8756,1.0
600543,*ST莫高,4.040,13.0,刚启动(拉升初期),8.18,70.99,-0.1042,0.1285,0.9983,0.9174,0.0
000711,ST京蓝,6.440,151.8,刚启动(拉升初期),15.78,70.9,0.0421,0.2652,1.6476,0.8702,1.0
002909,集泰股份,5.220,19.9,刚启动(拉升初期),8.22,70.88,-0.0953,0.1348,1.2492,0.8976,0.4
301051,信濠光电,20.600,46.5,刚启动(拉升初期),27.62,70.85,0.1593,0.5237,1.5974,0.8334,1.0
603396,金辰股份,25.650,35.5,刚启动(拉升初期),14.79,70.8,-0.1862,0.1225,1.6657,0.8855,1.0
603838,*ST四通,11.720,37.5,刚启动(拉升初期),19.64,70.77,0.2907,0.6369,1.746,0.874,1.0
000826,*ST启环,1.960,27.9,刚启动(拉升初期),18.14,70.66,-0.1131,0.4,1.3171,0.8938,0.4
603289,泰瑞机器,8.650,25.4,刚启动(拉升初期),7.82,70.65,-0.1801,0.1337,1.6554,0.8774,1.0
600476,*ST湘邮,9.690,15.6,刚启动(拉升初期),8.04,70.61,-0.1348,0.1832,1.2524,0.8128,0.7
002863,今飞凯达,4.700,28.2,刚启动(拉升初期),18.4,70.48,-0.0524,0.1298,1.5706,0.8453,1.0
